index,time_window,label,matched_eqs,total_eq
0,2006-04-01 02:18:54.599,1,"[{'lat': 3.782, 'long': 126.407, 'Time': Timestamp('2006-04-01 21:44:29'), 'mag': 5.6}]",1
1,2006-04-01 07:14:22.693,0,[],0
2,2006-04-01 10:30:20.418,0,[],0
3,2006-04-01 13:49:22.158,0,[],0
4,2006-04-01 17:06:20.304,0,[],0
5,2006-04-01 20:20:52.265,0,[],0
6,2006-04-01 23:34:52.318,1,"[{'lat': -15.158, 'long': -174.314, 'Time': Timestamp('2006-04-03 20:27:13'), 'mag': 5.0}, {'lat': -28.879, 'long': -177.332, 'Time': Timestamp('2006-04-03 01:28:00'), 'mag': 5.1}, {'lat': -29.214, 'long': -177.059, 'Time': Timestamp('2006-04-03 01:41:13'), 'mag': 5.3}]",3
7,2006-04-02 07:44:53.422,0,[],0
8,2006-04-02 11:01:22.148,0,[],0
9,2006-04-02 14:20:16.655,0,[],0
10,2006-04-02 17:36:52.144,0,[],0
11,2006-04-02 20:51:20.859,0,[],0
12,2006-04-03 08:15:50.387,0,[],0
13,2006-04-03 11:32:50.005,1,"[{'lat': 37.64, 'long': 20.962, 'Time': Timestamp('2006-04-04 22:05:05'), 'mag': 5.5}]",1
14,2006-04-03 14:51:18.832,0,[],0
15,2006-04-03 18:07:23.014,0,[],0
16,2006-04-03 21:21:15.724,0,[],0
17,2006-04-04 00:35:18.214,0,[],0
18,2006-04-04 07:08:27.071,0,[],0
19,2006-04-04 10:24:20.595,0,[],0
20,2006-04-04 13:43:22.335,0,[],0
21,2006-04-04 17:00:24.577,0,[],0
22,2006-04-04 20:14:52.442,0,[],0
23,2006-04-05 01:05:50.055,1,"[{'lat': 46.952, 'long': 153.94, 'Time': Timestamp('2006-04-06 17:09:38'), 'mag': 5.0}]",1
24,2006-04-05 07:39:00.352,1,"[{'lat': 23.726, 'long': 70.682, 'Time': Timestamp('2006-04-06 12:02:54'), 'mag': 5.0}, {'lat': 23.322, 'long': 70.477, 'Time': Timestamp('2006-04-06 17:59:16'), 'mag': 5.5}]",2
25,2006-04-05 10:55:18.265,0,[],0
26,2006-04-05 14:14:25.061,0,[],0
27,2006-04-05 17:30:52.358,0,[],0
28,2006-04-05 20:44:48.304,0,[],0
29,2006-04-06 06:31:21.678,0,[],0
30,2006-04-06 09:46:47.752,0,[],0
31,2006-04-06 13:06:22.148,0,[],0
32,2006-04-06 16:23:51.621,0,[],0
33,2006-04-06 19:38:21.015,0,[],0
34,2006-04-06 22:52:22.307,0,[],0
35,2006-04-07 08:38:52.658,0,[],0
36,2006-04-07 11:57:52.521,0,[],0
37,2006-04-07 15:15:51.549,0,[],0
38,2006-04-07 18:31:52.629,0,[],0
39,2006-04-08 07:32:52.374,0,[],0
40,2006-04-08 10:48:52.539,1,"[{'lat': 35.168, 'long': 27.244, 'Time': Timestamp('2006-04-09 23:27:19'), 'mag': 5.3}]",1
41,2006-04-08 14:08:22.950,0,[],0
42,2006-04-08 17:24:51.095,0,[],0
43,2006-04-08 20:38:55.345,0,[],0
44,2006-04-08 23:52:52.109,0,[],0
45,2006-04-09 08:03:19.665,0,[],0
46,2006-04-09 21:09:24.746,0,[],0
